Benchmark,Size_MB,Stride_Bytes,Bandwidth_GBs,Static_Power_W,Avg_Kernel_Power_W,Dynamic_Power_W,Mean_Dynamic_Energy_J,Std_Dynamic_Energy_J,Min_Dynamic_Energy_J,Max_Dynamic_Energy_J,Dynamic_Energy_pJ_bit
Load,0.03125,64,227.279,43.657,43.759777777777785,0.10277777777778851,0.00018374405555557474,0.0,0.00018374405555557474,0.00018374405555557474,0.05652621765417644
Store,0.03125,64,11.3469,44.315200000000004,44.368,0.05279999999999774,0.0002403234239999897,0.0,0.0002403234239999897,0.0002403234239999897,0.581656663934618
Load,0.0625,64,454.264,44.14082499999999,44.108,0.0,0.0,0.0,0.0,0.0,0.0
Store,0.0625,64,22.6946,43.922,43.972319999999996,0.050319999999999254,0.00022913715199999663,0.0,0.00022913715199999663,0.00022913715199999663,0.27715844297762054
Load,0.25,64,925.063,44.07885,44.129,0.05014999999999503,0.00017480133549998268,0.0,0.00017480133549998268,0.00017480133549998268,0.006776565487971499
Store,0.25,64,90.7849,44.159525,44.255,0.09547500000000042,0.00044092646400000195,0.0,0.00044092646400000195,0.00044092646400000195,0.13145770937678022
Load,4.0,64,2519.33,44.001549999999995,44.02377777777778,0.022227777777786173,0.0004255663650001608,0.0,0.0004255663650001608,0.0004255663650001608,0.001102861563282012
Store,4.0,64,207.48,44.425975,44.475,0.04902500000000032,0.00154258633250001,0.0,0.00154258633250001,0.00154258633250001,0.029535979371505882
Load,16.0,64,2526.02,44.7455,44.96315151515151,0.21765151515150905,0.017057980431817703,0.0,0.017057980431817703,0.017057980431817703,0.010770476636740262
Store,16.0,64,210.094,46.027,46.30097297297297,0.2739729729729703,0.033306894324323995,0.0,0.033306894324323995,0.033306894324323995,0.16300618590545798
Load,50.0,64,1146.22,47.46175,45.669666666666664,0.0,0.0,0.0,0.0,0.0,0.0
Store,50.0,64,206.405,51.897000000000006,46.80578688524591,0.0,0.0,0.0,0.0,0.0,0.0
Load,1024.0,64,322.447,56.05375,48.77166666666667,0.0,0.0,0.0,0.0,0.0,0.0
Store,1024.0,64,227.492,58.25385,57.89670815450644,0.0,0.0,0.0,0.0,0.0,0.0
Load,4096.0,64,320.016,53.438,38.05621686746988,0.0,0.0,0.0,0.0,0.0,0.0
Store,4096.0,64,226.36,82.087,75.04734364261168,0.0,0.0,0.0,0.0,0.0,0.0
Load,8192.0,64,319.407,55.551775,34.42594039054471,0.0,0.0,0.0,0.0,0.0,0.0
Store,8192.0,64,215.995,105.200875,98.85194462540716,0.0,0.0,0.0,0.0,0.0,0.0
Load,12288.0,64,319.828,57.763,33.0584012345679,0.0,0.0,0.0,0.0,0.0,0.0
Store,12288.0,64,40.752,89.229575,83.74232926829268,0.0,0.0,0.0,0.0,0.0,0.0
Load,16384.0,64,320.346,60.14200000000001,32.527198050282195,0.0,0.0,0.0,0.0,0.0,0.0
Store,16384.0,64,37.5697,89.814,82.86004587155963,0.0,0.0,0.0,0.0,0.0,0.0
Load,24576.0,64,320.36,61.2042,31.847586254295532,0.0,0.0,0.0,0.0,0.0,0.0
Store,24576.0,64,37.142,86.4576,84.72177203647416,0.0,0.0,0.0,0.0,0.0,0.0
