Benchmark,Size_MB,Stride_Bytes,Bandwidth_GBs,Static_Power_W,Avg_Kernel_Power_W,Dynamic_Power_W,Mean_Dynamic_Energy_J,Std_Dynamic_Energy_J,Min_Dynamic_Energy_J,Max_Dynamic_Energy_J,Dynamic_Energy_pJ_bit
Load,0.03125,16,418.658,42.638,42.678363636363635,0.0403636363636366,3.633114763636385e-05,0.0,3.633114763636385e-05,3.633114763636385e-05,0.012051494407020946
Store,0.03125,16,108.807,43.062,43.07352,0.011520000000004416,2.3050368000008837e-05,0.0,2.3050368000008837e-05,2.3050368000008837e-05,0.013234442636967766
Load,0.0625,16,808.898,43.150125,43.179,0.028874999999999318,2.924286749999931e-05,0.0,2.924286749999931e-05,2.924286749999931e-05,0.004462089163281297
Store,0.0625,16,217.642,43.06745,43.046,0.0,0.0,0.0,0.0,0.0,0.0
Load,0.25,16,680.456,43.0592,43.08875,0.02955000000000041,0.0001354704975000019,0.0,0.0001354704975000019,0.0001354704975000019,0.005428345109750008
Store,0.25,16,380.641,43.32,43.281565217391304,0.0,0.0,0.0,0.0,0.0,0.0
Load,4.0,16,630.531,43.182,43.301,0.11899999999999977,0.009578250499999982,0.0,0.009578250499999982,0.009578250499999982,0.02359122707686057
Store,4.0,16,481.56,45.3005,44.46945161290323,0.0,0.0,0.0,0.0,0.0,0.0
Load,16.0,16,678.678,44.4,46.0851923076923,1.6851923076923043,0.4290853505769222,0.0,0.4290853505769222,0.4290853505769222,0.3103814157251864
Store,16.0,16,533.368,50.8072,48.51400000000001,0.0,0.0,0.0,0.0,0.0,0.0
Load,50.0,16,286.16,45.9914,44.508794520547944,0.0,0.0,0.0,0.0,0.0,0.0
Store,50.0,16,521.212,50.61749999999999,46.569986842105266,0.0,0.0,0.0,0.0,0.0,0.0
Load,1024.0,16,80.8637,45.546875,41.74825074626866,0.0,0.0,0.0,0.0,0.0,0.0
Store,1024.0,16,543.345,58.349450000000004,58.105,0.0,0.0,0.0,0.0,0.0,0.0
Load,4096.0,16,80.0978,53.426300000000005,32.9592922705314,0.0,0.0,0.0,0.0,0.0,0.0
Store,4096.0,16,539.872,70.37795,67.20100326797386,0.0,0.0,0.0,0.0,0.0,0.0
Load,8192.0,16,80.2547,60.48440000000001,31.049633147853733,0.0,0.0,0.0,0.0,0.0,0.0
Store,8192.0,16,418.295,107.41902499999999,95.38083974358975,0.0,0.0,0.0,0.0,0.0,0.0
Load,12288.0,16,80.1644,62.675250000000005,30.22491140215716,0.0,0.0,0.0,0.0,0.0,0.0
Store,12288.0,16,170.194,96.886,89.96825151515152,0.0,0.0,0.0,0.0,0.0,0.0
Load,16384.0,16,80.0,66.63415,29.973331267605634,0.0,0.0,0.0,0.0,0.0,0.0
Store,16384.0,16,118.667,94.06265,87.06327627627627,0.0,0.0,0.0,0.0,0.0,0.0
Load,24576.0,16,80.0665,70.482,29.44670975886883,0.0,0.0,0.0,0.0,0.0,0.0
Store,24576.0,16,112.277,95.702,88.9071081081081,0.0,0.0,0.0,0.0,0.0,0.0
