Benchmark,Size_MB,Stride_Bytes,Bandwidth_GBs,Static_Power_W,Avg_Kernel_Power_W,Dynamic_Power_W,Mean_Dynamic_Energy_J,Std_Dynamic_Energy_J,Min_Dynamic_Energy_J,Max_Dynamic_Energy_J,Dynamic_Energy_pJ_bit
Load,0.03125,32,353.321,39.14485,39.358,0.21314999999999884,0.0007589620965555569,0.0005577183785232096,0.0002431487309999987,0.001350788258666669,0.23538239583851747
Store,0.03125,32,27.2324,39.667,39.702,0.03499999999999659,0.0002766217333333351,0.00037297855497155964,0.0,0.0007008055000000178,0.3443402471838723
Load,0.0625,32,703.723,39.58987499999999,39.234,0.0,3.784394249999961e-05,6.554763116871449e-05,0.0,0.00011353182749999884,0.00568358946576485
Store,0.0625,32,54.4365,39.52635,39.286,0.0,6.112222399999916e-05,0.00010586679743960437,0.0,0.0001833666719999975,0.042251063165338845
Load,0.25,32,889.549,39.461,39.13192,0.0,0.00015553623799999857,0.0002693966666341226,0.0,0.0004666087139999957,0.00566148577836813
Store,0.25,32,216.455,39.516,39.24203846153846,0.0,0.0001419181675000026,0.0002458094766270747,0.0,0.00042575450250000783,0.02106186536420316
Load,4.0,32,1306.47,40.36342499999999,40.224,0.0,0.005927121499999951,0.01026607558063377,0.0,0.01778136449999985,0.015494856384958983
Store,4.0,32,238.809,40.272,41.067,0.7950000000000017,0.014478407500000033,0.025077337402686348,0.0,0.0434352225000001,0.13870917762730914
Load,16.0,32,1301.0,46.506,43.44651282051282,0.0,0.12133061078174608,0.21015078238734844,0.0,0.36399183234523824,0.08143967265477699
Store,16.0,32,267.515,44.693,42.912,0.0,0.10336763078571419,0.1790379883788778,0.0,0.31010289235714256,0.2553970441652078
Load,50.0,32,562.94,45.952,45.792177215189874,0.0,0.07272459203333308,0.1259626883614517,0.0,0.21817377609999922,0.031502351350173624
Store,50.0,32,259.438,48.711650000000006,48.96511538461539,0.2534653846153816,0.12568814727003955,0.12145581595652914,0.0,0.24241526514473566,0.11399497413137896
Load,1024.0,32,161.868,52.6731,43.276180616740085,0.0,0.13118815859537508,0.22722455603859337,0.0,0.39356447578612525,0.3759331843689875
Store,1024.0,32,272.295,57.475,53.76732442748092,0.0,0.0,0.0,0.0,0.0,0.0
Load,4096.0,32,159.909,36.546,32.56880614973262,0.0,0.0,0.0,0.0,0.0,0.0
Store,4096.0,32,264.821,68.8328,65.63598039215687,0.0,0.0,0.0,0.0,0.0,0.0
Load,8192.0,32,160.29,48.261,30.76020740740741,0.0,0.0,0.0,0.0,0.0,0.0
Store,8192.0,32,240.175,98.935875,92.64618789808917,0.0,0.0,0.0,0.0,0.0,0.0
Load,12288.0,32,160.337,48.71865,31.085969561324976,0.0,0.0,0.0,0.0,0.0,0.0
Store,12288.0,32,69.5315,91.56,84.08280664652568,0.0,0.0,0.0,0.0,0.0,0.0
Load,16384.0,32,160.243,52.2,30.210271494708998,0.0,0.0,0.0,0.0,0.0,0.0
Store,16384.0,32,58.6354,88.65525,84.18243161094225,0.0,0.0,0.0,0.0,0.0,0.0
Load,24576.0,32,160.063,55.623149999999995,30.062159939888364,0.0,0.0,0.0,0.0,0.0,0.0
Store,24576.0,32,58.1412,89.03475,85.91409337349397,0.0,0.0,0.0,0.0,0.0,0.0
