Benchmark,Size_MB,Stride_Bytes,Bandwidth_GBs,Static_Power_W,Avg_Kernel_Power_W,Dynamic_Power_W,Mean_Dynamic_Energy_J,Std_Dynamic_Energy_J,Min_Dynamic_Energy_J,Max_Dynamic_Energy_J,Dynamic_Energy_pJ_bit
Load,0.03125,128,136.056,43.67125,43.75,0.07874999999999943,0.00024087183749999823,0.0,0.00024087183749999823,0.00024087183749999823,0.07235072323160999
Store,0.03125,128,4.25585,44.153675,44.11733333333333,0.0,0.0,0.0,0.0,0.0,0.0
Load,0.0625,128,272.109,44.006,44.0825,0.0765000000000029,0.00023030784000000872,0.0,0.00023030784000000872,0.00023030784000000872,0.03514216729325514
Store,0.0625,128,8.51192,44.12185,44.155,0.033149999999999125,0.00021008812499999447,0.0,0.00021008812499999447,0.00021008812499999447,0.48681731031305403
Load,0.25,128,910.092,44.19145,44.225,0.03354999999999819,0.00011983087049999355,0.0,0.00011983087049999355,0.00011983087049999355,0.0046080506146628855
Store,0.25,128,34.0543,44.216075000000004,44.24140740740741,0.02533240740740439,0.00015859961635183295,0.0,0.00015859961635183295,0.00015859961635183295,0.09298534769252485
Load,4.0,128,5435.72,44.078,44.27223076923077,0.19423076923076366,0.0017385168846153348,0.0,0.0017385168846153348,0.0017385168846153348,0.004466537303953378
Store,4.0,128,153.644,44.5803,44.665,0.084699999999998,0.0015022137899999646,0.0,0.0015022137899999646,0.0015022137899999646,0.06890929681601463
Load,16.0,128,5213.36,44.96805,44.77762068965517,0.0,0.0,0.0,0.0,0.0,0.0
Store,16.0,128,162.174,45.402125,45.662,0.25987500000000097,0.020400421387500076,0.0,0.020400421387500076,0.020400421387500076,0.20030569018461727
Load,50.0,128,2294.34,46.999100000000006,45.15273469387755,0.0,0.0,0.0,0.0,0.0,0.0
Store,50.0,128,150.241,48.507349999999995,47.08004,0.0,0.0,0.0,0.0,0.0,0.0
Load,1024.0,128,677.766,53.086,50.11566225165563,0.0,0.0,0.0,0.0,0.0,0.0
Store,1024.0,128,168.054,61.540499999999994,59.12888834951456,0.0,0.0,0.0,0.0,0.0,0.0
Load,4096.0,128,645.271,52.016625,41.590328125,0.0,0.0,0.0,0.0,0.0,0.0
Store,4096.0,128,170.404,87.643675,80.67711594202899,0.0,0.0,0.0,0.0,0.0,0.0
Load,8192.0,128,640.104,57.9578,36.43762277091907,0.0,0.0,0.0,0.0,0.0,0.0
Store,8192.0,128,55.4715,90.92094999999999,88.68633639143731,0.0,0.0,0.0,0.0,0.0,0.0
Load,12288.0,128,638.146,58.830600000000004,34.70981098696462,0.0,0.0,0.0,0.0,0.0,0.0
Store,12288.0,128,19.6801,84.872375,77.81387767584097,0.0,0.0,0.0,0.0,0.0,0.0
Load,16384.0,128,637.929,59.665600000000005,34.043616842105266,0.0,0.0,0.0,0.0,0.0,0.0
Store,16384.0,128,19.4122,83.088325,78.101749235474,0.0,0.0,0.0,0.0,0.0,0.0
Load,24576.0,128,640.72,59.7263,33.06400188235294,0.0,0.0,0.0,0.0,0.0,0.0
Store,24576.0,128,19.2117,81.26174999999999,79.83420535714285,0.0,0.0,0.0,0.0,0.0,0.0
