Benchmark,Size_MB,Stride_Bytes,Bandwidth_GBs,Static_Power_W,Avg_Kernel_Power_W,Dynamic_Power_W,Mean_Dynamic_Energy_J,Std_Dynamic_Energy_J,Min_Dynamic_Energy_J,Max_Dynamic_Energy_J,Dynamic_Energy_pJ_bit
Load,0.03125,8,420.704,44.380225,44.11350000000001,0.0,0.00013663335039999964,0.00016946597506806667,0.0,0.00032626454399999885,0.04104053433724351
Store,0.03125,8,347.764,44.10125,43.986375,0.0,1.0937970000000414e-05,1.8945119771664868e-05,0.0,3.281391000000124e-05,0.00323726985467007
Load,0.0625,8,811.002,44.059000000000005,44.18,0.12099999999999511,5.359074405796965e-05,6.51678411021116e-05,0.0,0.00012613402999999492,0.007923753803466453
Store,0.0625,8,695.019,43.6042,43.901,0.2968000000000046,0.00019734539377777886,0.00018906371563528722,0.0,0.00037686476800000585,0.027952373324406476
Load,0.25,8,411.607,43.643874999999994,44.136,0.4921250000000086,0.0019827033625000414,0.0020063191604354044,0.0,0.00401183252750007,0.07386141725939184
Store,0.25,8,1419.72,43.441375,43.682,0.24062500000000142,0.00025458431216666825,0.00027829248212443654,0.0,0.0005516905625000031,0.00977651662247392
Load,4.0,8,325.049,52.108000000000004,50.338025,0.0,0.08651694051794843,0.07551504651742955,0.0,0.1391901068999995,0.23439995879008835
Store,4.0,8,1322.34,44.791,44.648,0.0,0.008726893777500093,0.015115423414886846,0.0,0.026180681332500278,0.02114139972066081
Load,16.0,8,334.901,53.184875,53.50196226415094,0.3170872641509419,0.372866250841981,0.575771963123932,0.0,1.0359978373018868,0.5342451449812061
Store,16.0,8,1345.14,49.2365,50.44128947368421,1.2047894736842082,0.08895554378333294,0.09016828758625674,0.0,0.18028951599999965,0.055240326405598485
Load,50.0,8,143.072,49.5458,49.96175641025641,0.4159564102564133,0.1706568410734176,0.177035177439561,0.0,0.3534462076202517,0.3912289660780647
Store,50.0,8,1332.14,57.60850000000001,56.926,0.0,0.32641301309682497,0.5653639229353462,0.0,0.9792390392904748,0.07252848131889786
Load,1024.0,8,40.7542,45.84195,43.42857040998217,0.0,0.0,0.0,0.0,0.0,0.0
Store,1024.0,8,1378.36,72.063,64.58665853658538,0.0,2.359457525749669,4.08670031289918,0.0,7.078372577249008,0.09583996571332891
Load,4096.0,8,40.224,50.56025,42.39018091361375,0.0,0.0,0.0,0.0,0.0,0.0
Store,4096.0,8,1339.09,101.337,88.44746843853821,0.0,0.0,0.0,0.0,0.0,0.0
Load,8192.0,8,40.1197,59.044,41.91021006711409,0.0,0.0,0.0,0.0,0.0,0.0
Store,8192.0,8,816.849,113.3185,103.14686520376175,0.0,0.0,0.0,0.0,0.0,0.0
Load,12288.0,8,40.0293,64.711,41.99334463525613,0.0,0.0,0.0,0.0,0.0,0.0
Store,12288.0,8,550.842,106.952,97.99193518518518,0.0,0.0,0.0,0.0,0.0,0.0
Load,16384.0,8,40.108,69.4109,41.72762256726577,0.0,0.0,0.0,0.0,0.0,0.0
Store,16384.0,8,502.433,106.40635,98.62532110091743,0.0,0.0,0.0,0.0,0.0,0.0
Load,24576.0,8,40.0979,66.02674999999999,41.495986658580954,0.0,0.0,0.0,0.0,0.0,0.0
Store,24576.0,8,481.465,104.82305,99.4075359281437,0.0,0.0,0.0,0.0,0.0,0.0
