Benchmark,Size_MB,Stride_Bytes,Bandwidth_GBs,Static_Power_W,Avg_Kernel_Power_W,Dynamic_Power_W,Mean_Dynamic_Energy_J,Std_Dynamic_Energy_J,Min_Dynamic_Energy_J,Max_Dynamic_Energy_J,Dynamic_Energy_pJ_bit
Load,0.03125,64,227.381,43.7493,43.851000000000006,0.10170000000000812,0.0001479741140000056,0.00013013375262198095,0.0,0.0002446005120000009,0.04150569365014677
Store,0.03125,64,11.3463,43.793,43.484346153846154,0.0,0.0002629416960000055,0.0004554283769003398,0.0,0.0007888250880000165,0.6102154098019212
Load,0.0625,64,454.287,43.778,43.54024999999999,0.0,0.00011781298666666972,0.00020405807869810664,0.0,0.00035343896000000915,0.017976888325368937
Store,0.0625,64,22.6942,43.8392,43.645999999999994,0.0,0.0,0.0,0.0,0.0,0.0
Load,0.25,64,929.672,43.9414,43.91283333333334,0.0,4.045136666667094e-05,7.006382230227217e-05,0.0,0.00012135410000001282,0.001568187751021001
Store,0.25,64,90.7873,43.650150000000004,43.728,0.07784999999999798,0.00012332426099999678,0.00021360388585787944,0.0,0.00036997278299999035,0.0357291162971023
Load,4.0,64,2556.67,44.3162,44.5978275862069,0.2816275862068949,0.0022552788215473027,0.002913073085352913,0.0,0.0055442333131034156,0.005601047736431476
Store,4.0,64,204.886,44.634875,44.888714285714286,0.25383928571428527,0.0031850628267857026,0.004499016930955858,0.0,0.0083318430267857,0.05920160630179991
Load,16.0,64,2617.33,47.706599999999995,46.0568125,0.0,0.019059847538709675,0.021909217254747097,0.0,0.04299655649999977,0.012456725983543655
Store,16.0,64,221.372,46.745124999999994,48.092,1.3468750000000043,0.05236066354166683,0.09069132957218631,0.0,0.1570819906250005,0.25350898788765897
Load,50.0,64,1146.24,50.282175,50.44885294117647,0.1666779411764665,0.37292563060695816,0.3013491983620439,0.06937669281176301,0.6720258308823535,0.09770599688311296
Store,50.0,64,208.75,51.236925,51.27903389830509,0.042108898305087905,0.10493611678403897,0.1687755085565799,0.0,0.2996240079499971,0.17425546544833936
Load,1024.0,64,329.832,62.766125,52.07497633136095,0.0,0.11487141551847517,0.19896312801535498,0.0,0.3446142465554255,0.10698248730882039
Store,1024.0,64,230.809,61.5966,58.50890043290043,0.0,0.0,0.0,0.0,0.0,0.0
Load,4096.0,64,320.435,52.60600000000001,43.84375840336135,0.0,0.0,0.0,0.0,0.0,0.0
Store,4096.0,64,227.316,83.076,74.7092525951557,0.0,0.0,0.0,0.0,0.0,0.0
Load,8192.0,64,319.563,49.40365,43.132738327904455,0.0,0.0,0.0,0.0,0.0,0.0
Store,8192.0,64,216.889,107.26534999999998,99.52133114754099,0.0,0.0,0.0,0.0,0.0,0.0
Load,12288.0,64,319.921,50.1638,42.668577229876725,0.0,0.0,0.0,0.0,0.0,0.0
Store,12288.0,64,40.7398,86.659075,84.13505167173253,0.0,0.0,0.0,0.0,0.0,0.0
Load,16384.0,64,321.003,50.9016,42.79267683923706,0.0,0.0,0.0,0.0,0.0,0.0
Store,16384.0,64,37.6259,89.189,83.25084097859326,0.0,0.0,0.0,0.0,0.0,0.0
Load,24576.0,64,320.752,52.9562,42.43364590876177,0.0,0.0,0.0,0.0,0.0,0.0
Store,24576.0,64,37.2425,87.942325,84.7015137614679,0.0,0.0,0.0,0.0,0.0,0.0
