Benchmark,Size_MB,Stride_Bytes,Bandwidth_GBs,Static_Power_W,Avg_Kernel_Power_W,Dynamic_Power_W,Mean_Dynamic_Energy_J,Std_Dynamic_Energy_J,Min_Dynamic_Energy_J,Max_Dynamic_Energy_J,Dynamic_Energy_pJ_bit
Load,0.03125,128,136.078,44.06484999999999,43.80483999999999,0.0,0.00029129172666664895,0.0003807441679541244,0.0,0.0007221181799999771,0.08818991487601271
Store,0.03125,128,4.25718,43.99980000000001,43.90325000000001,0.0,0.00033511345000000287,0.0005804335216996975,0.0,0.0010053403500000085,1.576026689722344
Load,0.0625,128,272.069,43.934875000000005,44.026,0.09112499999999812,9.072739124999813e-05,0.00015714445128317675,0.0,0.00027218217374999436,0.013955559067736203
Store,0.0625,128,8.51335,43.9305,44.106,0.17549999999999955,0.0005914615846666732,0.0005559941913043961,0.0,0.001103431679999997,1.3812355236131626
Load,0.25,128,910.018,43.4369,43.666,0.22909999999999542,0.00043076703046737394,0.0004257627307925222,0.0,0.000851342472999983,0.015922940610219292
Store,0.25,128,34.0449,44.433625,44.05348,0.0,0.0011028011562413834,0.0019101076332557797,0.0,0.0033084034687241503,0.752029341997421
Load,4.0,128,5463.68,43.95195,44.14099999999999,0.1890499999999946,0.000900165837666649,0.0008997931593232697,0.0,0.0017995858549999485,0.0021634725802825595
Store,4.0,128,154.336,44.472249999999995,44.94799999999999,0.4757499999999979,0.003973193286111095,0.005697486252529461,0.0,0.010500896724999953,0.1457923966820959
Load,16.0,128,5246.1,45.151599999999995,45.547714285714285,0.3961142857142903,0.004771566278095293,0.008264595225343374,0.0,0.014314698834285879,0.0031461012761407705
Store,16.0,128,154.045,47.4407,45.9320625,0.0,0.013362368578629052,0.01773971894857978,0.0,0.03348910818749995,0.13372374968489054
Load,50.0,128,2294.27,49.584875000000004,47.466307692307694,0.0,0.1674680494416666,0.2900631702774233,0.0,0.5024041483249998,0.03766742513017993
Store,50.0,128,150.813,51.097125,50.815294117647056,0.0,0.0,0.0,0.0,0.0,0.0
Load,1024.0,128,679.46,64.367875,56.222857142857144,0.0,0.0,0.0,0.0,0.0,0.0
Store,1024.0,128,169.421,67.18665,59.87450490196078,0.0,0.0,0.0,0.0,0.0,0.0
Load,4096.0,128,645.138,51.323375,44.898130555555554,0.0,0.0,0.0,0.0,0.0,0.0
Store,4096.0,128,171.605,90.314,80.33788363636364,0.0,0.0,0.0,0.0,0.0,0.0
Load,8192.0,128,636.689,51.900725,43.25198237885462,0.0,0.0,0.0,0.0,0.0,0.0
Store,8192.0,128,57.3482,91.92600000000002,87.52900638977636,0.0,0.0,0.0,0.0,0.0,0.0
Load,12288.0,128,639.47,50.446425,43.13213446215139,0.0,0.0,0.0,0.0,0.0,0.0
Store,12288.0,128,19.8017,82.1221,77.87726543209877,0.0,0.0,0.0,0.0,0.0,0.0
Load,16384.0,128,638.441,51.07065,43.11882357357357,0.0,0.0,0.0,0.0,0.0,0.0
Store,16384.0,128,19.4686,80.42675,78.05541590214067,0.0,0.0,0.0,0.0,0.0,0.0
Load,24576.0,128,640.814,50.882,42.923992003998,0.0,0.0,0.0,0.0,0.0,0.0
Store,24576.0,128,19.41,82.846,79.40198493975903,0.0,0.0,0.0,0.0,0.0,0.0
