Benchmark,Size_MB,Stride_Bytes,Bandwidth_GBs,Static_Power_W,Avg_Kernel_Power_W,Dynamic_Power_W,Mean_Dynamic_Energy_J,Std_Dynamic_Energy_J,Min_Dynamic_Energy_J,Max_Dynamic_Energy_J,Dynamic_Energy_pJ_bit
Load,0.03125,32,353.277,42.672225000000005,42.53261538461538,0.0,6.173508891666837e-05,7.946985462439643e-05,0.0,0.0001513992480000045,0.019789927659825728
Store,0.03125,32,27.2322,42.65025,42.70688,0.056629999999998404,0.00018724560213333253,0.0001745418016983878,0.0,0.0003454373888000037,0.22502466442911853
Load,0.0625,32,703.606,42.604949999999995,42.69,0.08505000000000251,3.300762150000098e-05,5.7170877475004526e-05,0.0,9.902286450000293e-05,0.0050365545489948985
Store,0.0625,32,54.4629,42.591699999999996,42.689,0.09730000000000416,0.00021276428216667265,0.00019108056049077266,0.0,0.00036974583800001583,0.1285042582244551
Load,0.25,32,891.387,42.7864,42.88399999999999,0.0975999999999928,0.00018585467686955718,0.0001680830613305764,0.0,0.0003272118079999759,0.007773884096508046
Store,0.25,32,217.774,42.6562,42.802,0.14580000000000126,0.0002352239999999912,0.000279285275379756,0.0,0.0005438923200000047,0.03619346923293083
Load,4.0,32,1311.56,43.5297,44.275,0.7453000000000003,0.009337118225714298,0.013287482607418048,0.0,0.024549436700000014,0.027016202167562092
Store,4.0,32,246.365,43.772000000000006,44.249,0.47699999999999676,0.013974474266666639,0.01257756474530647,0.0,0.024386720399999836,0.13868562938386242
Load,16.0,32,1171.82,47.31175,46.169,0.0,0.07322198180000002,0.12682419270848366,0.0,0.21966594540000003,0.04662777178978656
Store,16.0,32,269.485,47.088,45.591,0.0,0.08665725640000034,0.15009477092932386,0.0,0.25997176920000103,0.23910682355645427
Load,50.0,32,572.279,49.86,49.732089743589746,0.0,0.07339279570909145,0.12712005107766947,0.0,0.22017838712727433,0.032548757097024796
Store,50.0,32,255.813,50.273,51.46396,1.190959999999997,0.43959716462100495,0.384210713027727,0.0,0.7111994306630164,0.42104388854344227
Load,1024.0,32,162.002,53.066475000000004,47.75226511627907,0.0,0.005862071046728313,0.010153404890511909,0.0,0.01758621314018494,0.015598511333234503
Store,1024.0,32,272.963,61.75500000000001,56.88617938931298,0.0,0.0,0.0,0.0,0.0,0.0
Load,4096.0,32,159.879,48.904849999999996,42.917702664796636,0.0,0.0,0.0,0.0,0.0,0.0
Store,4096.0,32,265.471,71.675,66.61357843137255,0.0,0.0,0.0,0.0,0.0,0.0
Load,8192.0,32,159.797,50.326,42.009861560084325,0.0,0.0,0.0,0.0,0.0,0.0
Store,8192.0,32,240.911,105.934,93.59231528662421,0.0,0.0,0.0,0.0,0.0,0.0
Load,12288.0,32,160.517,50.092400000000005,42.17906261770245,0.0,0.0,0.0,0.0,0.0,0.0
Store,12288.0,32,69.5041,91.16,85.85557272727273,0.0,0.0,0.0,0.0,0.0,0.0
Load,16384.0,32,160.462,53.922900000000006,42.26089090909091,0.0,0.0,0.0,0.0,0.0,0.0
Store,16384.0,32,58.8279,92.4225,85.61056666666667,0.0,0.0,0.0,0.0,0.0,0.0
Load,24576.0,32,160.274,57.318,42.20229113631104,0.0,0.0,0.0,0.0,0.0,0.0
Store,24576.0,32,58.2436,92.4884,87.97245317220545,0.0,0.0,0.0,0.0,0.0,0.0
